지점번호,지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차,
146,전주,2020-01-01,-0.5,4.3,15:09,-6.4,1:42,10.7
146,전주,2020-01-02,1.4,6.5,14:12,-3,7:55,9.5
146,전주,2020-01-03,2.6,7.6,13:32,-0.5,23:53,8.1
146,전주,2020-01-04,2,7.7,13:51,-2.6,5:30,10.3
146,전주,2020-01-05,2.5,8.6,14:05,-3.2,7:36,11.8
146,전주,2020-01-06,5.9,9.1,23:59,1.3,0:03,7.8
146,전주,2020-01-07,12.4,16.4,17:02,9,0:02,7.4
146,전주,2020-01-08,4.4,11.1,0:01,3.3,23:59,7.8
146,전주,2020-01-09,2,5.2,13:44,-1.6,23:52,6.8
146,전주,2020-01-10,0.9,6.3,14:48,-3.1,7:57,9.4
146,전주,2020-01-11,2.5,7.7,13:26,-1.8,5:21,9.5
146,전주,2020-01-12,2.3,4.1,15:17,0.7,5:50,3.4
146,전주,2020-01-13,1.2,4.8,13:42,-1.4,21:01,6.2
146,전주,2020-01-14,1.4,5.3,14:25,-1.3,7:55,6.6
146,전주,2020-01-15,0.4,4.6,14:00,-1.4,6:27,6
146,전주,2020-01-16,0.4,5.2,15:46,-3.7,4:26,8.9
146,전주,2020-01-17,1,5.6,15:36,-1.7,7:06,7.3
146,전주,2020-01-18,0.7,6.7,15:35,-4,5:16,10.7
146,전주,2020-01-19,3.2,7.4,14:24,-1.3,0:08,8.7
146,전주,2020-01-20,3.5,8,14:21,-0.3,23:57,8.3
146,전주,2020-01-21,1.5,7.8,15:29,-4.3,7:34,12.1
146,전주,2020-01-22,3.5,4.8,16:36,0.9,1:18,3.9
146,전주,2020-01-23,6.3,12.4,15:37,3.4,6:52,9
146,전주,2020-01-24,4.9,10.6,14:42,0.5,7:56,10.1
146,전주,2020-01-25,4.9,8.8,14:23,1,4:39,7.8
146,전주,2020-01-26,7.1,11.9,16:17,1.4,7:02,10.5
146,전주,2020-01-27,6.1,9.7,0:16,3.8,23:00,5.9
146,전주,2020-01-28,6.8,11.1,15:23,3.2,7:17,7.9
146,전주,2020-01-29,6.7,10.4,13:05,4.9,24:00:00,5.5
146,전주,2020-01-30,5.1,9.4,14:49,2.2,4:51,7.2
146,전주,2020-01-31,4.2,8.8,13:59,1.8,23:07,7
146,전주,2020-02-01,3.6,8.7,14:17,-1.3,6:39,10
146,전주,2020-02-02,2.5,7.4,15:49,-1.1,7:04,8.5
146,전주,2020-02-03,1.5,6.8,13:36,-1.6,23:48,8.4
146,전주,2020-02-04,0.7,6.4,14:10,-4.8,7:52,11.2
146,전주,2020-02-05,-3.7,1,0:07,-6.9,23:55,7.9
146,전주,2020-02-06,-4.1,0.5,15:47,-9.2,7:35,9.7
146,전주,2020-02-07,-0.3,4.1,14:17,-6.2,6:35,10.3
146,전주,2020-02-08,2,6.7,14:31,-1,22:06,7.7
146,전주,2020-02-09,0.3,5.5,14:41,-4.4,7:21,9.9
146,전주,2020-02-10,5,11.8,15:26,-1.5,0:18,13.3
146,전주,2020-02-11,8.4,15.4,14:51,0.9,1:26,14.5
146,전주,2020-02-12,9.5,12.3,15:01,7.3,7:34,5
146,전주,2020-02-13,7.4,9.2,14:46,4.9,23:17,4.3
146,전주,2020-02-14,8.9,16.2,16:18,3.8,7:11,12.4
146,전주,2020-02-15,10.6,18.7,12:36,4.6,7:15,14.1
146,전주,2020-02-16,0.9,5.8,0:01,-1.8,22:46,7.6
146,전주,2020-02-17,-3,-1.3,12:46,-4.6,19:29,3.3
146,전주,2020-02-18,-1.3,3.3,16:40,-5.3,7:26,8.6
146,전주,2020-02-19,2.9,9.8,15:13,-3.9,3:43,13.7
146,전주,2020-02-20,5.9,12.5,16:07,-0.1,7:10,12.6
146,전주,2020-02-21,9.2,16.8,16:08,2,7:09,14.8
146,전주,2020-02-22,6.1,10.6,13:59,2.3,23:58,8.3
146,전주,2020-02-23,3.7,9,15:47,-1.2,7:21,10.2
146,전주,2020-02-24,8.8,16.1,15:17,-0.2,5:21,16.3
146,전주,2020-02-25,8.5,10.4,0:01,7.9,15:14,2.5
146,전주,2020-02-26,8.1,14,13:43,3.7,23:50,10.3
146,전주,2020-02-27,6.5,12.3,15:21,1.5,6:59,10.8
146,전주,2020-02-28,6,7.4,8:41,4.8,2:09,2.6
