year,month,day,prov,cases
2020,1,20,서울,0
2020,1,20,부산,0
2020,1,20,대구,0
2020,1,20,인천,1
2020,1,20,광주,0
2020,1,20,대전,0
2020,1,20,울산,0
2020,1,20,세종,0
2020,1,20,경기,0
2020,1,20,강원,0
2020,1,20,충북,0
2020,1,20,충남,0
2020,1,20,전북,0
2020,1,20,전남,0
2020,1,20,경북,0
2020,1,20,경남,0
2020,1,20,제주,0
2020,1,20,검역,0
2020,1,21,서울,0
2020,1,21,부산,0
2020,1,21,대구,0
2020,1,21,인천,0
2020,1,21,광주,0
2020,1,21,대전,0
2020,1,21,울산,0
2020,1,21,세종,0
2020,1,21,경기,0
2020,1,21,강원,0
2020,1,21,충북,0
2020,1,21,충남,0
2020,1,21,전북,0
2020,1,21,전남,0
2020,1,21,경북,0
2020,1,21,경남,0
2020,1,21,제주,0
2020,1,21,검역,0
2020,1,22,서울,0
2020,1,22,부산,0
2020,1,22,대구,0
2020,1,22,인천,0
2020,1,22,광주,0
2020,1,22,대전,0
2020,1,22,울산,0
2020,1,22,세종,0
2020,1,22,경기,0
2020,1,22,강원,0
2020,1,22,충북,0
2020,1,22,충남,0
2020,1,22,전북,0
2020,1,22,전남,0
2020,1,22,경북,0
2020,1,22,경남,0
2020,1,22,제주,0
2020,1,22,검역,0
2020,1,23,서울,0
2020,1,23,부산,0
2020,1,23,대구,0
2020,1,23,인천,0
2020,1,23,광주,0
2020,1,23,대전,0
2020,1,23,울산,0
2020,1,23,세종,0
2020,1,23,경기,0
2020,1,23,강원,0
2020,1,23,충북,0
2020,1,23,충남,0
2020,1,23,전북,0
2020,1,23,전남,0
2020,1,23,경북,0
2020,1,23,경남,0
2020,1,23,제주,0
2020,1,23,검역,0
2020,1,24,서울,1
2020,1,24,부산,0
2020,1,24,대구,0
2020,1,24,인천,0
2020,1,24,광주,0
2020,1,24,대전,0
2020,1,24,울산,0
2020,1,24,세종,0
2020,1,24,경기,0
2020,1,24,강원,0
2020,1,24,충북,0
2020,1,24,충남,0
2020,1,24,전북,0
2020,1,24,전남,0
2020,1,24,경북,0
2020,1,24,경남,0
2020,1,24,제주,0
2020,1,24,검역,0
2020,1,25,서울,0
2020,1,25,부산,0
2020,1,25,대구,0
2020,1,25,인천,0
2020,1,25,광주,0
2020,1,25,대전,0
2020,1,25,울산,0
2020,1,25,세종,0
2020,1,25,경기,0
2020,1,25,강원,0
2020,1,25,충북,0
2020,1,25,충남,0
2020,1,25,전북,0
2020,1,25,전남,0
2020,1,25,경북,0
2020,1,25,경남,0
2020,1,25,제주,0
2020,1,25,검역,0
2020,1,26,서울,0
2020,1,26,부산,0
2020,1,26,대구,0
2020,1,26,인천,0
2020,1,26,광주,0
2020,1,26,대전,0
2020,1,26,울산,0
2020,1,26,세종,0
2020,1,26,경기,1
2020,1,26,강원,0
2020,1,26,충북,0
2020,1,26,충남,0
2020,1,26,전북,0
2020,1,26,전남,0
2020,1,26,경북,0
2020,1,26,경남,0
2020,1,26,제주,0
2020,1,26,검역,0
2020,1,27,서울,0
2020,1,27,부산,0
2020,1,27,대구,0
2020,1,27,인천,0
2020,1,27,광주,0
2020,1,27,대전,0
2020,1,27,울산,0
2020,1,27,세종,0
2020,1,27,경기,1
2020,1,27,강원,0
2020,1,27,충북,0
2020,1,27,충남,0
2020,1,27,전북,0
2020,1,27,전남,0
2020,1,27,경북,0
2020,1,27,경남,0
2020,1,27,제주,0
2020,1,27,검역,0
2020,1,28,서울,0
2020,1,28,부산,0
2020,1,28,대구,0
2020,1,28,인천,0
2020,1,28,광주,0
2020,1,28,대전,0
2020,1,28,울산,0
2020,1,28,세종,0
2020,1,28,경기,0
2020,1,28,강원,0
2020,1,28,충북,0
2020,1,28,충남,0
2020,1,28,전북,0
2020,1,28,전남,0
2020,1,28,경북,0
2020,1,28,경남,0
2020,1,28,제주,0
2020,1,28,검역,0
