word,doc,topic
교수님,1,1
비대면,1,2
온라인,1,3
코로나,1,1
비대면,1,2
대면,1,3
오프라인,1,1
평가,1,2
비대면,1,3
교수님,1,1
대면,2,2
평가,2,3
비대면,2,1
밀집도,2,2
코로나,2,3
회신,2,1
메일,2,2
코로나,2,3
통계학과,3,1
계획,3,2
대면,3,3
평가,3,1
강의계획서,3,2
코로나,3,3
평가,3,1
대면,3,2
비대면,3,3
비대면,3,1
공정성,3,2
전공,3,3
코로나,4,1
대면,4,2
비대면,4,3
코로나,4,1
계획,4,2
평가,4,3
공정성,4,1
평가,4,2
학생,4,3
기말,4,1
기말,4,2
학생,4,3
공정성,4,1
비대면,4,2
학부,5,3
중간고사,5,1
평가,5,2
비대면,5,3
계획,5,1
공정성,5,2
학생,5,3
코로나,5,1
비대면,5,2
코로나,5,3
복수전공,6,1
취업,6,2
교수님,6,3
자격증,6,1
진로,6,2
방학,6,3
취업,6,1
대학원,6,2
기숙사,6,3
진로,6,1
대학원,6,2
취업,6,3
자격증,6,1
선배,7,2
자격증,7,3
교수님,7,1
방학,7,2
자격증,7,3
컴활,7,1
사조사,7,2
컴활,8,3
복수전공,8,1
자격증,8,2
취업,8,3
대학원,8,1
학점,8,2
토익,8,3
취업,8,1
학점,8,2
학부,8,3
어학,9,1
자격증,9,2
기숙사,9,3
비대면,9,1
머신러닝,9,2
취업,9,3
대학원,9,1
복수전공,9,2
선배,9,3
규빈아,10,1
논문,10,2
pca,10,3
hst,10,1
ssa,10,2
정리,10,3
hst,10,1
발표,10,2
공저자,10,3
저자,10,1
제출,10,2
수정,10,3
리뷰,10,1
수고했다,10,2
규빈아,11,3
첫학기,11,1
수업,11,2
논문,11,3
ssa,11,1
pca,11,2
hst,11,3
hst,11,1
제출,11,2
hst,12,3
리뷰,12,1
빨리,12,2
제출,12,3
규빈아,12,1
논문,12,2
ssa,12,3
hst,12,1
저자,12,2
규빈아,13,3
논문,13,1
비교,13,2
제출,13,3
빨리,13,1
규빈아,13,2
hst,13,3
ebt,13,1
hst,13,2
pca,13,3
hst,13,1
마무리,13,2
